"","nct_id","pmid1"
"1","NCT00299741","22984218"
"2","NCT00113529","20142724"
"3","NCT00247676","21787417"
"4","NCT00247676","21531821"
"5","NCT00247676","19586800"
"12","NCT00056693","25756398"
"13","NCT00246571","23958375"
"14","NCT00267748","27238653"
"15","NCT00267748","25577718"
"16","NCT00267748","25100134"
"23","NCT00137423","27238653"
"24","NCT00137423","25577718"
"25","NCT00137423","19652072"
"32","NCT00077974","27238653"
"33","NCT00077974","25577718"
"34","NCT00077974","16757724"
"41","NCT00130897","27713637"
"42","NCT00130897","24576311"
"43","NCT00130897","20862748"
"44","NCT00130897","19615940"
"57","NCT00083889","27238653"
"58","NCT00083889","25577718"
"59","NCT00083889","20104222"
"60","NCT00083889","17215529"
"73","NCT00243503","24606768"
"74","NCT00054886","27238653"
"75","NCT00054886","25577718"
"78","NCT00094029","21289369"
"79","NCT00078000","22897944"
"80","NCT00075218","17046465"
